         234878 function calls (229087 primitive calls) in 0.521 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
      215    0.000    0.000    0.000    0.000 types.py:135(__get__)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.001    0.001 groupby.py:1171(GroupBy)
        1    0.000    0.000    0.001    0.001 multi.py:131(MultiIndex)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
       52    0.000    0.000    0.000    0.000 typing.py:354(_type_check)
       42    0.000    0.000    0.002    0.000 ops.py:1367(_flex_method_SERIES)
       16    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.028    0.028 generic.py:2(<module>)
        1    0.000    0.000    0.004    0.004 internals.py:1(<module>)
       89    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       36    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       11    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
      267    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:287(_CountryTimezoneDict)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       12    0.000    0.000    0.000    0.000 ops.py:1654(_comp_method_PANEL)
        1    0.000    0.000    0.077    0.077 __init__.py:25(<module>)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
    55/53    0.000    0.000    0.005    0.000 typing.py:676(inner)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.004    0.004 offsets.py:2(<module>)
       17    0.000    0.000    0.000    0.000 posixpath.py:73(join)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       39    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       36    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        3    0.000    0.000    0.000    0.000 gettext.py:466(find)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1883(__init__)
       48    0.000    0.000    0.001    0.000 config.py:726(inner)
        1    0.000    0.000    0.000    0.000 groupby.py:2173(BaseGrouper)
        1    0.000    0.000    0.013    0.013 format.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:299(_add_aliases)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:1588(LoggerAdapter)
        1    0.000    0.000    0.001    0.001 category.py:32(CategoricalIndex)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        6    0.000    0.000    0.004    0.001 ops.py:875(add_special_arithmetic_methods)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
      106    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        1    0.000    0.000    0.008    0.008 ssl.py:91(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        1    0.000    0.000    0.001    0.001 strings.py:1(<module>)
       19    0.000    0.000    0.001    0.000 generic.py:9596(_make_stat_function)
        1    0.000    0.000    0.004    0.004 packers.py:39(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:199(_sanity_check)
       45    0.000    0.000    0.000    0.000 re.py:249(escape)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
       26    0.000    0.000    0.000    0.000 core.py:6558(getdoc)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       20    0.000    0.000    0.000    0.000 _decorators.py:135(_deprecate_kwarg)
        5    0.000    0.000    0.000    0.000 base.py:4634(_add_numeric_methods_disabled)
        1    0.000    0.000    0.001    0.001 frame.py:34(SparseDataFrame)
      144    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       80    0.000    0.000    0.022    0.000 re.py:231(compile)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.018    0.018 utils.py:4(<module>)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.002    0.002 tz.py:9(<module>)
    38/36    0.000    0.000    0.000    0.000 typing.py:580(_subs_tree)
        1    0.000    0.000    0.000    0.000 core.py:2707(MaskedArray)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.005    0.005 cast.py:1(<module>)
       97    0.000    0.000    0.000    0.000 ops.py:223(_gen_fill_zeros)
      170    0.000    0.000    0.000    0.000 ops.py:854(<lambda>)
     45/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
      197    0.000    0.000    0.000    0.000 typing.py:974(<genexpr>)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.008    0.008 request.py:68(<module>)
        4    0.000    0.000    0.155    0.039 __init__.py:2(<module>)
      261    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
      205    0.000    0.000    0.000    0.000 enum.py:592(name)
       94    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
      122    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.202    0.202 api.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       22    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      164    0.000    0.000    0.000    0.000 typing.py:1089(__eq__)
        4    0.000    0.000    0.000    0.000 base.py:4710(_add_numeric_methods_binary)
        1    0.000    0.000    0.001    0.001 ops.py:5(<module>)
        1    0.000    0.000    0.001    0.001 window.py:1428(Rolling)
